cid,name,contact,address,ssn
C001,Nancy,2158741229,6649 N Blue Gum St New Orleans,985-69-5114
C002,Laura,6313353414,4 B Blue Ridge Blvd Brighton,805-07-0576
C003,Robert,3104985651,8 W Cerritos Ave #54 Bridgeport,054-14-2964
C004,Paul,4407808425,639 Main St Anchorage,113-85-9381
C005,Kevin,9565376195,34 Center St Hamilton,167-19-2705
C006,Linda,6022774385,3 Mcauley Dr Ashland,393-76-1361
C007,Karen,9313139635,7 Eads St Chicago,426-77-1465
C008,Sarah,4146619598,7 W Jackson Blvd San Jose,356-14-5193
C009,Michael,3132887937,5 Boston Ave #88 Sioux Falls,974-23-5915
C010,Mark,8158282147,228 Runamuck Pl #2808 Baltimore,535-18-0426
C011,Jason,6105453615,2371 Jerrold Ave Kulpsville,355-02-7481
C012,Barbara,4085401785,37275 St  Rt 17m M Middle Island,748-77-6018
C013,Betty,9723039197,25 E 75th St #69 Los Angeles,701 39 4563
C014,Kimberly,5189667987,98 Connecticut Ave Nw Chagrin Falls,357-50-5755
C015,William,7326583154,56 E Morehead St Laredo,874 30 8004
C016,Donald,7156626764,73 State Road 434 E Phoenix,424 08 3008
C017,Jeff,9133882079,69734 E Carrillo St Mc Minnville,111-69-8921
C018,Elizabeth,4106691642,322 New Horizon Blvd Milwaukee,737 52 3646
C019,Helen,2125824976,1 State Route 27 Taylor,169-28-1513
C020,Deborah,9363363951,394 Manchester Blvd Rockford,903-41-8442
C021,David,6148019788,6 S 33rd St Aston,837-19-3842
C022,George,5059773911,6 Greenleaf Ave San Jose,864-23-8071
C023,Jennifer,2017096245,618 W Yakima Ave Irving,542-50-9281
C024,Sandra,7329247882,74 S Westgate St Albany,528-55-0602
C025,Richard,2128601579,3273 State St Middlesex,495-00-2870
C026,Kenneth,5049799175,1 Central Ave Stevens Point,516-52-6439
C027,Maria,2126758570,86 Nw 66th St #8673 Shawnee,089-95-2067
C028,Donna,8058326163,2 Cedar Ave #84 Easton,099-52-2802
C029,Charles,2108129597,90991 Thorburn Ave New York,028-71-7779
C030,Steven,7854637829,386 9th Ave N Conroe,001-14-2521
C031,Susan,5415488197,74874 Atlantic Ave Columbus,359-03-9546
C032,Carol,9134134604,366 South Dr Las Cruces,229-97-7831
C033,Dorothy,6083367444,865 9 Avenue Irving,381-06-1296
C034,Sharon,2159079111,847 BlueLeaf Av Middlesex,946-79-9278
C035,Billy,4325435345,9822 State St Middlesex,748-55-3222
C036,Susan,3426574635,2313 Atlantic Ave Columbus,359-03-9546
C037,Samantha,3425433553,483 W Yakima Ave Easton,345-65-4372
C038,Peter,6757562422,853 Thorburn Ave New York,245-66-8743
C039,Jackson,6459786754,343221 Center St Hamilton,324-67-8754
C040,Raymond,6789878655,3422 Mcauley Dr Ashland,987-76-5433
C041,Jake,7579877654,56576 Eads St Chicago,435-77-6433
C042,Gunther,4447885743,847 Westgate Chicago,567-88-9754
C043,Samuel,3737866553,2 State Route 27 Taylor,565-78-8765
