owner_ssn,winery,license,contact
757-85-7495,Beckstoffer To Kalon Vineyard,WLC-736-873,5046218927
149-13-7317,Bien Nacido Vineyard,WLC-382-382,8102929388
909-03-4642,Opus One,WLA-372-930,8566368749
781-70-8498,Savoy Vineyard,WLA-334-596,9073854412
749-25-3016,Hyde Vineyard,WLA-998-404,5135701893
789-21-8631,Hirsch Vineyard,WLA-384-811,4195032484
182-73-1694,Benmarl Winery,WLA-384-272,7735736914
303-81-0470,Red Newt Cellars,WLA-341-222,4087523500
389-86-6919,Standing Stone Vineyards,WLC-394-555,6054142147
805-74-0240,Bodega Carmelo Patti,WLB-486-586,4106558723
985-69-5114,Bodegas Callia,WLB-445-322,2158741229
805-07-0576,Catena Zapata,WLD-484-422,6313353414
054-14-2964,Familia Schroeder,WLC-334-484,3104985651
985-69-5114,O. Fournier,WLB-474-473,2158741229
805-07-0576,Familia Zuccardi,WLA-955-483,6313353414
054-14-2964,Pascual Toso,WLB-321-343,3104985651
113-85-9381,Pulenta Estate,WLC-432-322,4407808425
167-19-2705,Bodegas Lopez,WLC-422-452,9565376195
393-76-1361,Boydell's,WLD-543-231,6022774385
426-77-1465,Tahbilk Winery,WLD-432-422,9313139635
356-14-5193,Hahndorf Hill,WLA-442-423,4146619598
974-23-5915,Bay of Fires,WLB-432-221,3132887937
851-48-4165,Helm Wines,WLC-098-423,3234532780
381-06-1296,Vina Undurraga,WLC-942-492,6083367444
946-79-9278,Vina Santa Carolina,WLB-481-383,2159079111
748-55-3222,Estancia El Cuadro,WLA-311-532,4325435345
322-34-5432,Clos Apalta Winery,WLB-373-282,3426574635
345-65-4372,Casas del Toqui,WLC-373-382,3425433553
245-66-8743,Concha y Toro,WLB-373-211,6757562422
324-67-8754,Cousino Macul,WLC-373-392,6459786754
987-76-5433,Viu Manent,WLC-373-485,6789878655
435-77-6433,Vina Errazuriz,WLA-374-382,7579877654
567-88-9754,Silver Heights Vineyard,WLB-463-273,4447885743
565-78-8765,Grace Vineyard,WLB-374-382,3737866553
443-55-9999,Chateau Sun God Great Wall,WLC-384-287,6557547843
433-56-7865,Helan Qingxue Vineyard,WLC-272-383,3637657532
635-27-4762,Kanaan Winery,WLB-372-281,4627462748
736-43-1334,Chateau Saflam,WLA-383-384,5768584938
532-42-5633,"Chateau de l'Engarran, Laverune",WLC-382-263,5474690384
635-27-4762,Cos d'Estournel,WLA-273-485,4627462748
736-43-1334,Chateau Lafite-Rothschild,WLD-273-482,5768584938
532-42-5633,Maison Ruinart,WLE-373-272,5474690384
674-23-3533,Chateau des Vaults,WLE-372-383,5693837363
674-22-5866,Chateau du Clos de Vougeot,WLB-385-684,2983746578
765-48-3826,Domaine Virgile Joly,WLA-283-484,4973938475
538-05-5840,Domaine Cazes,WLC-384-272,5938736271
374-58-5867,VignobleKlur,WLC-272-382,4049584838
432-39-3904,Maltoff,WLA-272-494,4227475859
432-49-5968,Chateau Thieuley,WLE-372-448,5747474839
554-59-5854,Domaine de Mourchon,WLC-009-382,3402929384
747-48-5864,Girard-Madoux,WLC-304-482,4282285848
765-48-3826,Domaine de la Croix,WLC-382-322,4973938475
538-05-5840,Champagne Tarlant,WLD-283-383,5938736271
374-58-5867,Caves Jean Bourdy,WLE-282-383,4049584838
432-39-3904,The House of Remy Martin,WLE-282-002,4227475859
432-49-5968,Scharzhofberg,WLD-272-383,5747474839
554-59-5854,Bremmer Calmont,WLA-282-444,3402929384
747-48-5864,Bopparder Hamm,WLB-382-282,4282285848
757-85-7495,Bacharacher Posten,WLC-372-966,5046218927
149-13-7317,Kupfergrube,WLC-292-484,8102929388
909-03-4642,Berg Schlossberg,WLA-282-093,8566368749
781-70-8498,Vineyard Rosengarten,WLB-389-292,9073854412
749-25-3016,Marchesi di Barolo,WLA-271-282,5135701893
789-21-8631,Antica Cascina dei Conti di Roero,WLB-282-399,4195032484
182-73-1694,Redaelli de Zinis,WLC-383-282,7735736914
303-81-0470,Marchesi De' Frescobaldi,WLE-292-282,4087523500
389-86-6919,Tenuta di Castelbuono,WLA-292-383,6054142147
805-74-0240,Azienda Agricola Valentini,WLE-282-394,4106558723
985-69-5114,Mastroberardino,WLF-282-393,2158741229
805-07-0576,Librandi,WLF-281-383,6313353414
054-14-2964,Babylonstoren,WLA-284-504,3104985651
113-85-9381,Jordan Wine Estate,WLB-392-392,4407808425
167-19-2705,Delheim Wine Estate,WLC-290-593,9565376195
393-76-1361,Nederberg,WLC-292-443,6022774385
426-77-1465,Durbanville Hills,WLC-292-590,9313139635
356-14-5193,Springfontein Wine Estate,WLB-382-123,4146619598
974-23-5915,Vilafranca del Penedes,WLB-282-293,3132887937
393-76-1361,Marques de Riscal El Ciego,WLC-282-383,6022774385
426-77-1465,Dinastia Vivanco Briones,WLC-282-909,9313139635
356-14-5193,Marques de Murrieta Logrono,WLF-294-392,4146619598
974-23-5915,Bodegas Lopez de Heredia Vina Tondonia,WLA-291-110,3132887937
